Make,Model,Year,Vendor,MPN,AD Item Number,NI# ,OEM#,REF#,O.D,I.D,HEIGHT,Vendor Notes
LYNX,69 YETI 900 ACE,2015,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,69 YETI 900 ACE,2015,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,69 YETI 900 ACE,2015,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 600R E-TEC LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 600R E-TEC LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 600R E-TEC LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE TURBO LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE TURBO LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE TURBO LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE TURBO R LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE TURBO R LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,EXPEDITION 900 ACE TURBO R LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GRAND TOURING 900 ACE TURBO R,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GRAND TOURING 900 ACE TURBO R,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GRAND TOURING 900 ACE TURBO R,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GSX LE 900ACE,2014,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GSX LE 900ACE,2014,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GSX LE 900ACE,2014,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GSX LE/SE 1200 4TEC,2014,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GSX LE/SE 1200 4TEC,2014,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,GSX LE/SE 1200 4TEC,2014,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 600 ACE LE,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 600 ACE LE,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 600 ACE LE,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 600R ETEC LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 600R ETEC LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 600R ETEC LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 900 ACE LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 900 ACE LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 900 ACE LE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 900 ACE SE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 900 ACE SE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
SKI-DOO,SKANDIC 900 ACE SE 20 INCH / 24 INCH,2023,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
POLARIS,FST CLASSIC,2006,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST CLASSIC,2006,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ/LX,2007,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ/LX,2007,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO LX,2010,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO LX,2010,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
